iter	Passed	Remaining
560	62803	161095
561	62913	160979
562	63027	160870
563	63139	160760
564	63256	160660
565	63377	160570
566	63476	160427
567	63586	160310
568	63705	160215
569	63826	160125
570	63956	160059
571	64071	159953
572	64190	159859
573	64310	159766
574	64428	159671
575	64537	159551
576	64646	159431
577	64760	159324
578	64870	159206
579	64976	159080
580	65096	158987
581	65220	158905
582	65350	158836
583	65452	158699
584	65564	158587
585	65673	158468
586	65785	158356
587	65893	158234
588	66004	158119
589	66117	158008
590	66238	157918
591	66365	157841
592	66480	157736
593	66590	157620
594	66708	157521
595	66808	157381
596	66927	157284
597	67050	157199
598	67169	157102
599	67286	157002
600	67391	156873
601	67501	156756
602	67623	156666
603	67755	156600
604	67870	156494
605	67981	156380
606	68097	156276
607	68204	156153
608	68314	156035
609	68424	155917
610	68524	155778
611	68642	155678
612	68740	155535
613	68845	155407
614	68954	155286
615	69063	155169
616	69174	155055
617	69294	154959
618	69406	154846
619	69509	154714
620	69621	154601
621	69742	154510
622	69856	154401
623	69965	154282
624	70079	154174
625	70198	154077
626	70311	153968
627	70425	153859
628	70531	153733
629	70642	153618
630	70740	153477
631	70851	153362
632	70965	153253
633	71079	153147
634	71193	153038
635	71307	152930
636	71419	152816
637	71526	152694
638	71638	152581
639	71749	152468
640	71857	152346
641	71959	152214
642	72071	152101
643	72188	151998
644	72299	151884
645	72406	151762
646	72519	151652
647	72643	151565
648	72770	151483
649	72879	151365
650	72991	151253
651	73102	151138
652	73220	151037
653	73326	150913
654	73426	150777
655	73538	150664
656	73648	150548
657	73756	150426
658	73872	150323
659	73978	150197
660	74096	150098
661	74217	150004
662	74327	149887
663	74437	149772
664	74549	149658
665	74662	149550
666	74767	149423
667	74888	149328
668	74988	149193
669	75109	149098
670	75228	149000
671	75333	148872
672	75448	148766
673	75554	148642
674	75662	148523
675	75775	148411
676	75883	148292
677	75991	148172
678	76102	148057
679	76203	147924
680	76322	147826
681	76423	147692
682	76531	147571
683	76643	147460
684	76752	147342
685	76868	147238
686	76974	147114
687	77088	147005
688	77191	146876
689	77293	146745
690	77408	146639
691	77514	146515
692	77626	146403
693	77745	146305
694	77877	146229
695	77988	146116
696	78091	145987
697	78198	145866
698	78301	145737
699	78414	145626
700	78516	145496
701	78619	145367
702	78724	145242
703	78837	145132
704	78968	145055
705	79076	144936
706	79195	144836
707	79305	144720
708	79420	144615
709	79546	144528
710	79655	144410
711	79761	144288
712	79877	144183
713	79989	144070
714	80098	143953
715	80205	143832
716	80308	143703
717	80412	143577
718	80522	143461
719	80629	143340
720	80732	143213
721	80844	143101
722	80951	142980
723	81063	142868
724	81174	142754
725	81286	142643
726	81399	142533
727	81514	142426
728	81623	142309
729	81723	142175
730	81842	142075
731	81949	141955
732	82061	141845
733	82175	141735
734	82285	141620
735	82396	141506
736	82505	141390
737	82630	141301
738	82737	141180
739	82854	141077
740	82961	140956
741	83071	140840
742	83187	140735
743	83289	140607
744	83396	140487
745	83501	140363
746	83622	140265
747	83723	140136
748	83835	140025
749	83949	139915
750	84064	139809
751	84178	139701
752	84282	139576
753	84387	139452
754	84503	139347
755	84622	139246
756	84739	139142
757	84857	139040
758	84967	138925
759	85074	138806
760	85194	138706
761	85295	138577
762	85400	138453
763	85512	138342
764	85628	138236
765	85739	138123
766	85844	138000
767	85951	137880
768	86052	137751
769	86163	137637
770	86263	137506
771	86375	137395
772	86493	137293
773	86599	137171
774	86706	137052
775	86821	136945
776	86933	136833
777	87044	136719
778	87157	136609
779	87265	136492
780	87394	136406
781	87518	136313
782	87630	136202
783	87743	136092
784	87853	135976
785	87955	135849
786	88066	135736
787	88187	135638
788	88296	135521
789	88410	135413
790	88522	135302
791	88639	135197
792	88756	135093
793	88868	134981
794	88985	134877
795	89099	134768
796	89204	134645
797	89317	134536
798	89433	134430
799	89548	134322
800	89661	134211
801	89774	134102
802	89883	133985
803	89999	133880
804	90111	133767
805	90235	133673
806	90351	133567
807	90458	133448
808	90577	133347
809	90700	133251
810	90816	133144
811	90915	133013
812	91026	132900
813	91136	132786
814	91264	132697
815	91377	132586
816	91478	132458
817	91589	132345
818	91695	132225
819	91818	132129
820	91926	132011
821	92040	131902
822	92159	131800
823	92275	131694
824	92391	131587
825	92507	131481
826	92645	131406
827	92749	131283
828	92850	131154
829	92956	131035
830	93076	130934
831	93191	130826
832	93307	130720
833	93435	130630
834	93541	130510
835	93670	130421
836	93802	130336
837	93906	130213
838	94019	130103
839	94121	129977
840	94234	129866
841	94346	129755
842	94462	129647
843	94580	129544
844	94704	129448
845	94813	129331
846	94910	129199
847	95015	129077
848	95126	128964
849	95241	128856
850	95349	128738
851	95453	128615
852	95565	128503
853	95675	128389
854	95788	128278
855	95898	128162
856	96004	128042
857	96113	127927
858	96226	127816
859	96346	127715
860	96452	127595
861	96558	127475
862	96670	127362
863	96782	127250
864	96882	127123
865	96998	127016
866	97105	126898
867	97210	126776
868	97317	126658
869	97421	126536
870	97528	126417
871	97641	126306
872	97761	126205
873	97868	126086
874	97978	125972
875	98081	125848
876	98193	125736
877	98297	125615
878	98398	125489
879	98510	125376
880	98610	125250
881	98732	125150
882	98859	125057
883	98962	124934
884	99082	124832
885	99187	124712
886	99288	124586
887	99400	124474
888	99504	124353
889	99609	124231
890	99714	124112
891	99837	124013
892	99945	123896
893	100047	123772
894	100158	123659
895	100266	123542
896	100374	123425
897	100472	123296
898	100581	123181
899	100679	123053
900	100794	122944
901	100902	122827
902	101016	122718
903	101124	122602
904	101227	122479
905	101351	122382
906	101456	122262
907	101577	122160
908	101690	122051
909	101814	121953
910	101918	121832
911	102057	121753
912	102164	121634
913	102280	121527
914	102388	121411
915	102495	121293
916	102596	121168
917	102722	121073
918	102839	120967
919	102943	120846
920	103057	120737
921	103168	120624
922	103282	120514
923	103397	120406
924	103519	120305
925	103635	120199
926	103758	120099
927	103886	120007
928	103989	119884
929	104116	119790
930	104228	119677
931	104337	119562
932	104445	119446
933	104564	119342
934	104673	119226
935	104773	119101
936	104873	118976
937	104978	118856
938	105082	118735
939	105195	118625
940	105302	118507
941	105423	118405
942	105538	118296
943	105642	118176
944	105764	118076
945	105864	117950
946	105977	117840
947	106089	117728
948	106202	117617
949	106307	117498
950	106414	117380
951	106524	117266
952	106631	117149
953	106732	117025
954	106844	116914
955	106955	116800
956	107071	116693
957	107188	116586
958	107307	116483
959	107409	116360
960	107521	116248
961	107632	116135
962	107742	116021
963	107853	115908
964	107965	115796
965	108072	115679
966	108193	115578
967	108301	115461
968	108409	115346
969	108522	115235
